Nombre,Apellido,Email,Nivel Educativo,Grado,Grupo
Reese Saunders,Reese Saunders,e222011@adeladecornejo.com,Preescolar,Segundo,B
Daria Cleveland,Daria Cleveland,e222012@adeladecornejo.com,Primaria,Tercero,C
Grant Moreno,Grant Moreno,e222013@adeladecornejo.com,Secundaria,Tercero,A
Isaac Jimenez,Isaac Jimenez,e222014@adeladecornejo.com,Primaria,Primero,C
Devin French,Devin French,e222015@adeladecornejo.com,Secundaria,Primero,B
Shad Giles,Shad Giles,e222011@adeladecornejo.com,Preescolar,Primero,A
Roary Kim,Roary Kim,e222012@adeladecornejo.com,Secundaria,Segundo,A
Kennan Hodge,Kennan Hodge,e222013@adeladecornejo.com,Primaria,N/A,N/A
Yen Riley,Yen Riley,e222014@adeladecornejo.com,N/A,Primero,A
Hayley Shepard,Hayley Shepard,e222015@adeladecornejo.com,Preescolar,N/A,N/A
Knox Wong,Knox Wong,e222011@adeladecornejo.com,N/A,N/A,N/A
Michelle White,Michelle White,e222012@adeladecornejo.com,N/A,N/A,N/A
Arthur Roberts,Arthur Roberts,e222013@adeladecornejo.com,N/A,Segundo,A
Theodore Weber,Theodore Weber,e222014@adeladecornejo.com,Secundaria,Primero,A
Kylie Kinney,Kylie Kinney,e222015@adeladecornejo.com,Preescolar,Primero,B
TaShya Cummings,TaShya Cummings,e222011@adeladecornejo.com,Preescolar,Segundo,B
Lyle Clark,Lyle Clark,e222012@adeladecornejo.com,Primaria,Tercero,C
Zorita Harper,Zorita Harper,e222013@adeladecornejo.com,Secundaria,Tercero,A
Kenyon Schultz,Kenyon Schultz,e222014@adeladecornejo.com,Primaria,Primero,C
Elliott Charles,Elliott Charles,e222015@adeladecornejo.com,Secundaria,Primero,B
Phelan Walton,Phelan Walton,e222011@adeladecornejo.com,Preescolar,Primero,A
Anika Solis,Anika Solis,e222012@adeladecornejo.com,Secundaria,Segundo,A
Kirestin Howe,Kirestin Howe,e222013@adeladecornejo.com,Primaria,N/A,N/A
Paul Huffman,Paul Huffman,e222014@adeladecornejo.com,N/A,Primero,A
Leah Kent,Leah Kent,e222015@adeladecornejo.com,Preescolar,N/A,N/A
Hunter Combs,Hunter Combs,e222011@adeladecornejo.com,N/A,N/A,N/A
Vielka Woodward,Vielka Woodward,e222012@adeladecornejo.com,N/A,N/A,N/A
Nerea Christensen,Nerea Christensen,e222013@adeladecornejo.com,N/A,Segundo,A
Kenyon Wright,Kenyon Wright,e222014@adeladecornejo.com,Secundaria,Primero,A
Asher Lawson,Asher Lawson,e222015@adeladecornejo.com,Preescolar,Primero,B
Evan Schultz,Evan Schultz,e222011@adeladecornejo.com,Preescolar,Segundo,B
Carolyn Gates,Carolyn Gates,e222012@adeladecornejo.com,Primaria,Tercero,C
Shay Guerra,Shay Guerra,e222013@adeladecornejo.com,Secundaria,Tercero,A
August Singleton,August Singleton,e222014@adeladecornejo.com,Primaria,Primero,C
Fitzgerald Hyde,Fitzgerald Hyde,e222015@adeladecornejo.com,Secundaria,Primero,B
Yen Dillard,Yen Dillard,e222011@adeladecornejo.com,Preescolar,Primero,A
Darius Orr,Darius Orr,e222012@adeladecornejo.com,Secundaria,Segundo,A
Kaitlin Donovan,Kaitlin Donovan,e222013@adeladecornejo.com,Primaria,N/A,N/A
Ariana Logan,Ariana Logan,e222014@adeladecornejo.com,N/A,Primero,A
Herman Reeves,Herman Reeves,e222015@adeladecornejo.com,Preescolar,N/A,N/A
Kirby Valenzuela,Kirby Valenzuela,e222011@adeladecornejo.com,N/A,N/A,N/A
Dustin Potter,Dustin Potter,e222012@adeladecornejo.com,N/A,N/A,N/A
Amir Higgins,Amir Higgins,e222013@adeladecornejo.com,N/A,Segundo,A
Ila Burns,Ila Burns,e222014@adeladecornejo.com,Secundaria,Primero,A
Riley Howell,Riley Howell,e222015@adeladecornejo.com,Preescolar,Primero,B
Tyrone Reyes,Tyrone Reyes,e222011@adeladecornejo.com,Preescolar,Segundo,B
Wade Hodges,Wade Hodges,e222012@adeladecornejo.com,Primaria,Tercero,C
Sacha Keith,Sacha Keith,e222013@adeladecornejo.com,Secundaria,Tercero,A
Stacy Mcpherson,Stacy Mcpherson,e222014@adeladecornejo.com,Primaria,Primero,C
Leandra Flynn,Leandra Flynn,e222015@adeladecornejo.com,Secundaria,Primero,B
Jennifer Harvey,Jennifer Harvey,e222011@adeladecornejo.com,Preescolar,Primero,A
Gary Pittman,Gary Pittman,e222012@adeladecornejo.com,Secundaria,Segundo,A
Bevis Baker,Bevis Baker,e222013@adeladecornejo.com,Primaria,N/A,N/A
Iliana Murphy,Iliana Murphy,e222014@adeladecornejo.com,N/A,Primero,A
Thomas Aguilar,Thomas Aguilar,e222015@adeladecornejo.com,Preescolar,N/A,N/A
Fletcher Cantu,Fletcher Cantu,e222011@adeladecornejo.com,N/A,N/A,N/A
Kylee Newman,Kylee Newman,e222012@adeladecornejo.com,N/A,N/A,N/A
Cedric Jimenez,Cedric Jimenez,e222013@adeladecornejo.com,N/A,Segundo,A
Sharon Blake,Sharon Blake,e222014@adeladecornejo.com,Secundaria,Primero,A
Chantale Delacruz,Chantale Delacruz,e222015@adeladecornejo.com,Preescolar,Primero,B
Sara Valencia,Sara Valencia,e222011@adeladecornejo.com,Preescolar,Segundo,B
